2026-01-10 13:35:46.199 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 13:35:46.211 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: 'PlatformDetector' object has no attribute 'get_platform_rules'
2026-01-10 13:35:46.227 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: Could not determine join condition between parent/child tables on relationship User.jobs - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2026-01-10 13:35:46.256 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: Could not determine join condition between parent/child tables on relationship User.jobs - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2026-01-10 13:35:49.679 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 13:36:29.848 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 13:36:29.849 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 13:36:29.850 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 13:36:29.960 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 13:36:29.962 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 13:43:08.478 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 13:43:11.991 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 13:43:11.993 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 13:43:11.994 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 13:43:12.101 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 13:43:12.103 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 13:43:19.809 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 13:43:24.480 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 13:43:24.481 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 13:43:24.482 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 13:43:24.584 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 13:43:24.585 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 13:43:36.092 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: 'PlatformDetector' object has no attribute 'get_platform_rules'
2026-01-10 13:43:36.201 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 13:43:36.219 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: 'PlatformDetector' object has no attribute 'get_platform_rules'
2026-01-10 13:43:36.232 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
2026-01-10 13:43:36.258 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: Could not determine join condition between parent/child tables on relationship User.jobs - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2026-01-10 13:43:36.290 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: Could not determine join condition between parent/child tables on relationship User.jobs - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2026-01-10 13:43:43.192 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 13:43:46.747 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 13:43:46.749 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 13:43:46.749 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 13:43:46.849 | INFO     | app.main:lifespan:31 - ✅ Database tables created
